iter	MultiClass
813	0.06352256778
814	0.06331033726
815	0.06315677986
816	0.06301572004
817	0.06296253327
818	0.06280512635
819	0.0627602801
820	0.06271453101
821	0.06261790392
822	0.06255541917
823	0.06245175543
824	0.06232127364
825	0.06217441003
826	0.0620679945
827	0.06198136818
828	0.0618723601
829	0.0617681669
830	0.06166683522
831	0.06154778172
832	0.06141614508
833	0.06138293285
834	0.06128517529
835	0.06121484955
836	0.06106369611
837	0.06092110374
838	0.06085143118
839	0.06075424012
840	0.06066220734
841	0.06058061812
842	0.0605133303
843	0.06039294576
844	0.06032272967
845	0.06029927346
846	0.0602328263
847	0.06013664828
848	0.06002199483
849	0.05991010877
850	0.05985298904
851	0.05982205117
852	0.05975859518
853	0.05961155153
854	0.05954218177
855	0.05940773574
856	0.05934498622
857	0.05928467635
858	0.05912285416
859	0.05906141211
860	0.05896577374
861	0.05892658016
862	0.05883342288
863	0.05876453526
864	0.05867282716
865	0.05857564652
866	0.05851310684
867	0.05835484939
868	0.0582542985
869	0.05818408559
870	0.05806455587
871	0.05803421359
872	0.05793973882
873	0.05782305055
874	0.05768484107
875	0.05764355442
876	0.05754822936
877	0.05749283815
878	0.05743023194
879	0.05736632329
880	0.05732491156
881	0.05722531607
882	0.05715918139
883	0.05712079604
884	0.05703238536
885	0.05694881162
886	0.05677278527
887	0.05666680988
888	0.05662144548
889	0.05652817717
890	0.05639269816
891	0.05633882577
892	0.05623717118
893	0.05620955525
894	0.05616373121
895	0.05606435341
896	0.056035693
897	0.05590978328
898	0.05584252385
899	0.05570404528
900	0.0556283941
901	0.05552313297
902	0.05542357701
903	0.05531608659
904	0.05524642975
905	0.05511623058
906	0.05503945343
907	0.05496395105
908	0.05485574736
909	0.05472548432
910	0.05461615734
911	0.05449964985
912	0.05437938201
913	0.0542898541
914	0.05420599051
915	0.05418334304
916	0.05408878955
917	0.05394427471
918	0.05392411293
919	0.05386361561
920	0.05375824953
921	0.05368379653
922	0.05365314644
923	0.05360693178
924	0.05349112698
925	0.05343559111
926	0.0533129852
927	0.05326466958
928	0.05318179293
929	0.05311870054
930	0.05306165298
931	0.05292348459
932	0.05284853502
933	0.05277923715
934	0.05270227232
935	0.05266014274
936	0.05260041243
937	0.05248521424
938	0.05243496854
939	0.05239970106
940	0.05229365283
941	0.05224735278
942	0.05219052162
943	0.05211043235
944	0.05195812479
945	0.05190946485
946	0.05179312055
947	0.05173679343
948	0.05169573424
949	0.05161849149
950	0.05152909217
951	0.05142876632
952	0.05132516502
953	0.05124421078
954	0.05113936316
955	0.05104399158
956	0.0510058575
957	0.0508881155
958	0.05082344328
959	0.05077605843
960	0.05069049147
961	0.05062746665
962	0.05051619784
963	0.05047416377
964	0.0504256597
965	0.05035909494
966	0.05031666573
967	0.05027878246
968	0.05025422371
969	0.05020837281
970	0.05016054378
971	0.05007235712
972	0.04997188584
973	0.04990677747
974	0.04978137545
975	0.04973282921
976	0.04967416308
977	0.04960006123
978	0.04954760228
979	0.04948469827
980	0.04935406297
981	0.04931671389
982	0.04925827291
983	0.0492155306
984	0.04912779204
985	0.04902020014
986	0.04894081422
987	0.04889248997
988	0.04880112276
989	0.04876226447
990	0.04866869829
991	0.04856604192
992	0.0485153899
993	0.04845573726
994	0.04839557272
995	0.0483085285
996	0.04825009717
997	0.04813922007
998	0.04809515855
999	0.04804121
53331708
998	0.04543009782
999	0.04536361507
342
